"","species","continent","country","adm1","adm2","locality","lat","lon","coordUncertaintyM","alt","institution","collection","catalogNumber","basisOfRecord","collector","earliestDateCollected","latestDateCollected","gbifNotes","downloadDate","maxElevationM","minElevationM","maxDepthM","minDepthM","ISO2","cloc"
"285","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.117,-67.683,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760586","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"286","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.367,-68.117,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760561","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"287","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-15.75,-69.067,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761347","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"288","solanum acaule acaule",NA,"Peru",NA,NA,NA,-9.75,-77.43,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761435","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"289","solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.0319,-71.0497,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761620","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"290","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-18.8,-65.883,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760495","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"291","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.567,-67.15,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760882","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"292","solanum acaule acaule",NA,"Peru",NA,NA,NA,-11.8,-76.62,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762065","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"293","solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.7,-70.6058,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761966","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"294","solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.567,-73.783,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761158","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"295","solanum acaule acaule",NA,"Peru",NA,NA,NA,-11.7,-75.433,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761228","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"296","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-21.833,-65,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761386","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"297","solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.3,-69.967,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760339","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"298","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.85,-68.45,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760872","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"299","solanum acaule acaule",NA,"Peru",NA,NA,NA,-17.1163,-70.3897,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761944","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"300","solanum acaule acaule",NA,"Peru",NA,NA,NA,-11.4058,-76.5769,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761200","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"301","solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.833,-70.033,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760342","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"302","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-19.633,-65.667,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760277","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"303","solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.6333,-73.75,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762033","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"304","solanum acaule acaule",NA,"Peru",NA,NA,NA,-13.5,-70.917,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761229","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"305","solanum acaule acaule",NA,"Peru",NA,NA,NA,-9.8166,-77.3,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761057","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"306","solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.6918,-70.1229,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762346","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"307","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.117,-67.7,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760585","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"308","solanum acaule acaule",NA,"Peru",NA,NA,NA,-13.45,-74.3333,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761823","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"309","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.667,-66.533,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760815","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"310","solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.4386,-69.6056,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761961","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"311","solanum acaule acaule",NA,"Peru",NA,NA,NA,-16.23,-69.08,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760596","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"312","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-19.483,-65.65,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760508","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"313","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.1,-67.4,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760581","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"314","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-15.83,-68.86,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760593","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"315","solanum acaule acaule",NA,"Peru",NA,NA,NA,-10.91,-76.05,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761861","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"316","solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.5333,-70.2666,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761965","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"317","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-21.333,-65.717,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761376","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"318","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-21.517,-65.05,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760296","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"319","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.0167,-68.7667,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761027","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"320","solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.4892,-70.3645,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762354","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"321","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-21.83,-65.02,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761385","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"322","solanum acaule acaule",NA,"Peru",NA,NA,NA,-11.2927,-75.9158,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761860","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"323","solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.3666,-74.3666,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761824","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"324","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-14.7833,-69.0833,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762161","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"325","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.767,-68.367,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760863","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"326","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-14.75,-69.0833,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762166","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"327","solanum acaule acaule",NA,"Peru",NA,NA,NA,-11.4,-76.3166,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761528","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"328","solanum acaule acaule",NA,"Peru",NA,NA,NA,-16.21,-69.45,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761331","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"329","solanum acaule acaule",NA,"Peru",NA,NA,NA,-11.19,-75.935,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761025","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"330","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-18.833,-65.883,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760496","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"331","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-18.483,-66.517,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760491","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"332","solanum acaule acaule",NA,"Peru",NA,NA,NA,-12.2,-76.3,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762074","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"333","solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.6722,-72.0219,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761134","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"334","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-15.933,-68.667,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760588","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"335","solanum acaule acaule",NA,"Peru",NA,NA,NA,-16.2666,-69.3,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761332","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"336","solanum acaule acaule",NA,"Peru",NA,NA,NA,-10.5,-77.2,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761426","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"337","solanum acaule acaule",NA,"Peru",NA,NA,NA,-12.7666,-74.9833,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761522","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"338","solanum acaule acaule",NA,"Peru",NA,NA,NA,-13.5,-72.933,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760008","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"339","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-20.63,-65.23,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760225","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"340","solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.667,-74.383,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761227","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"341","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.233,-66.05,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760460","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"342","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-15.867,-68.783,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760591","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"343","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.84,-68.49,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760864","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"344","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.367,-67.15,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760212","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"345","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.15,-69,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761288","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"346","solanum acaule acaule",NA,"Peru",NA,NA,NA,-13.2652,-74.34,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761536","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"347","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-21.633,-65.05,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762983","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"348","solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.0108,-71.1413,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762427","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"349","solanum acaule acaule",NA,"Peru",NA,NA,NA,-10.85,-75.9,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761853","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"350","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-19.4,-65.55,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760510","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"351","solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.9008,-71.6308,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762429","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"352","solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.7019,-74.1561,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761727","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"353","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.2,-67.8,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760584","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"354","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-18.7,-66.883,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760884","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"355","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.0333,-68.7,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761294","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"356","solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.4747,-71.0463,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762450","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"357","solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.98,-71.35,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761945","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"358","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-15.4,-69.0666,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761340","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"359","solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.73,-71.45,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762435","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"360","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-15.65,-68.8667,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762297","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"361","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-15.733,-68.917,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760594","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"362","solanum acaule acaule",NA,"Peru",NA,NA,NA,-11.51,-75.89,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","762282","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"363","solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.5333,-70.05,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761958","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"364","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.083,-68.583,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760314","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"365","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.017,-68.767,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761345","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"366","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.083,-67.333,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760571","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"367","solanum acaule acaule",NA,"Peru",NA,NA,NA,-15.15,-69.8833,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761560","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"368","solanum acaule acaule",NA,"Peru",NA,NA,NA,-14.5097,-70.9233,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761616","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"369","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-16.15,-69.0833,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761289","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"370","solanum acaule acaule",NA,"Peru",NA,NA,NA,-13.955,-71.6027,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","761681","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"PE","Peru"
"371","solanum acaule acaule",NA,"Bolivia",NA,NA,NA,-17.817,-67.033,NA,NA,"ITA303","The System-wide Information Network for Genetic Resources (SINGER)","760816","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"BO","Bolivia"
"372","Solanum acaule Bitter",NA,"Argentina","Tucumán","Tafí del Valle","La Ciénaga, Sierra de Tucumán",-26.61,-65.87,NA,NA,"CORD","HERB","386214","specimen","Lorentz, P. G.",NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"AR","La Ciénaga, Sierra de Tucumán, Tucumán, Tafí del Valle, Argentina"
"373","Solanum acaule Bitter",NA,"Argentina","Tucumán","-","Lara",-26.41,-65.75,NA,NA,"SI","HERB","253855","specimen","Rodriguez, -",NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"AR","Lara, Tucumán, -, Argentina"
"374","Solanum acaule Bitter",NA,"Argentina","Jujuy","Cochinoca","Ca. 3-4 km SE of Abra Pampa at foot of sand dunes at foot of hill.",-22.73,-65.7,NA,NA,"SI","HERB","253824","specimen","Olmstead, R.",NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"AR","Ca. 3-4 km SE of Abra Pampa at foot of sand dunes at foot of hill., Jujuy, Cochinoca, Argentina"
"375","Solanum acaule Bitter",NA,"Argentina","Salta","Chicoana","Piedra del Molino, justo en el Km 65, frente al parador Herrera",-25.11,-65.59,NA,NA,"CORD","HERB","381401","specimen","Barboza, G. E.",NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"AR","Piedra del Molino, justo en el Km 65, frente al parador Herrera, Salta, Chicoana, Argentina"
"376","Solanum acaule Bitter",NA,"Argentina","Catamarca","Tinogasta","Reales Blancos y La Tranca",-27.51,-67.88,NA,NA,"LIL","HERB","381377","specimen","Schreiter, R.",NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"AR","Reales Blancos y La Tranca, Catamarca, Tinogasta, Argentina"
"377","Solanum acaule Bitter",NA,"Argentina","Jujuy","Yavi","Rincón de Cajas, frente al puesto de gendarmería, 5 km al E de Suripugio, por ruta prov. 5",-22.2,-65.33,NA,NA,"BAL","HERB","381399","specimen","Okada, K. A.",NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"AR","Rincón de Cajas, frente al puesto de gendarmería, 5 km al E de Suripugio, por ruta prov. 5, Jujuy, Yavi, Argentina"
"378","Solanum acaule Bitter",NA,"Argentina","Jujuy","Cochinoca","Abra Pampa",-22.92,-65.92,NA,NA,"LIL","HERB","381378","specimen","Meyer, T.",NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"AR","Abra Pampa, Jujuy, Cochinoca, Argentina"
"379","Solanum acaule Bitter",NA,"Argentina","Salta","Santa Victoria","Ruta Prov. 145 a Nazareno",-22.4,-65.23,NA,NA,"SI","HERB","274204","specimen","Zuloaga, F. O.",NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"AR","Ruta Prov. 145 a Nazareno, Salta, Santa Victoria, Argentina"
"380","Solanum acaule Bitter",NA,"Argentina","Catamarca","Andalgalá","El Globo",-27.35,-66.32,NA,NA,"SI","HERB","316544","specimen","Zuloaga, F. O.",NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,NA,NA,NA,"AR","El Globo, Catamarca, Andalgalá, Argentina"
