"species","continent","country","adm1","adm2","locality","lat","lon","coordUncertaintyM","alt","institution","collection","catalogNumber","basisOfRecord","collector","earliestDateCollected","latestDateCollected","gbifNotes","downloadDate","maxElevationM","minElevationM","maxDepthM","minDepthM","ISO2","cloc"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"La Paz P. Camacho Italaque",-15.4,-69.0666,NA,3850,"PER001","CIP - Potato collection","CIP-761340","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3850",NA,NA,"BO","La Paz P. Camacho Italaque, Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Arequipa P. Condesuyos Cayarani",-14.6722,-72.0219,NA,3900,"PER001","CIP - Potato collection","CIP-761134","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3900",NA,NA,"PE","Arequipa P. Condesuyos Cayarani, Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"La Paz P. Camacho Carabuco",-15.75,-69.067,NA,3820,"PER001","CIP - Potato collection","CIP-761347","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3820",NA,NA,"BO","La Paz P. Camacho Carabuco, Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Sandia Suytuccocha",-13.8255,-73.2758,NA,4000,"PER001","CIP - Potato collection","CIP-762197","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Puno P. Sandia Suytuccocha, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Ancash P. Bolognesi Shincos",NA,NA,NA,3900,"PER001","CIP - Potato collection","CIP-762412","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3900",NA,NA,"PE","Ancash P. Bolognesi Shincos, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Moquegua P. Mariscal Nieto 15 km NW of El Cruce on road to Carumas (33 km between these places).",NA,NA,NA,3660,"PER001","CIP - Potato collection","CIP-762865","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3660",NA,NA,"PE","Moquegua P. Mariscal Nieto 15 km NW of El Cruce on road to Carumas (33 km between these places)., Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Carabaya Ccaccene",NA,NA,NA,4200,"PER001","CIP - Potato collection","CIP-762202","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4200",NA,NA,"PE","Puno P. Carabaya Ccaccene, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Ayacucho P. Lucanas Cabanita,  near Puquio",-14.68,-74.12,NA,4000,"PER001","CIP - Potato collection","CIP-762035","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Ayacucho P. Lucanas Cabanita,  near Puquio, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Melgar Between Santa Rosa and  La Raya",-14.6,-70.78,NA,4200,"PER001","CIP - Potato collection","CIP-761614","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4200",NA,NA,"PE","Puno P. Melgar Between Santa Rosa and  La Raya, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Junin P. Yauli Pucara, near La Oroya",-11.51,-75.89,NA,3800,"PER001","CIP - Potato collection","CIP-762282","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3800",NA,NA,"PE","Junin P. Yauli Pucara, near La Oroya, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Ayacucho P. Lucanas Santa Rita, near  Puquio",-14.68,-74.12,NA,3980,"PER001","CIP - Potato collection","CIP-762034","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3980",NA,NA,"PE","Ayacucho P. Lucanas Santa Rita, near  Puquio, Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"Tarija P. Avilez Near Laguna de Tajsara, south shores. Punas de Patanca, 14 km SE Copacabana",-21.833,-65,NA,3700,"PER001","CIP - Potato collection","CIP-761379","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3700",NA,NA,"BO","Tarija P. Avilez Near Laguna de Tajsara, south shores. Punas de Patanca, 14 km SE Copacabana, Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Pasco P. Pasco Carretera Carhuamayo   ??",-10.9166,-76.0333,NA,4000,"PER001","CIP - Potato collection","CIP-761858","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Pasco P. Pasco Carretera Carhuamayo   ??, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Ayacucho P. Lucanas Alturas de Puquio",-14.68,-74.12,NA,3750,"PER001","CIP - Potato collection","CIP-762036","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3750",NA,NA,"PE","Ayacucho P. Lucanas Alturas de Puquio, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Pasco P. Pasco La Victoria",-10.85,-75.9,NA,4100,"PER001","CIP - Potato collection","CIP-761852","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4100",NA,NA,"PE","Pasco P. Pasco La Victoria, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Sandia Solitario",-15.1182,-69.5513,NA,NA,"PER001","CIP - Potato collection","CIP-762340","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"0",NA,NA,"PE","Puno P. Sandia Solitario, Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA,"PER001","CIP - Potato collection","CIP-760942","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"0",NA,NA,"BO","Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Cusco P. Espinar Huaylla Apacheta",-14.9008,-71.6308,NA,4100,"PER001","CIP - Potato collection","CIP-762429","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4100",NA,NA,"PE","Cusco P. Espinar Huaylla Apacheta, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Pasco P. Pasco Carretera Carhuamayo   ??",-10.9166,-76.0333,NA,4000,"PER001","CIP - Potato collection","CIP-761857","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Pasco P. Pasco Carretera Carhuamayo   ??, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Ancash P. Bolognesi Shincos",NA,NA,NA,4000,"PER001","CIP - Potato collection","CIP-762414","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Ancash P. Bolognesi Shincos, Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"La Paz P. Franz Tamayo Huaylapucyo from Catantika to Pelechuco",NA,NA,NA,4200,"PER001","CIP - Potato collection","CIP-762160","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4200",NA,NA,"BO","La Paz P. Franz Tamayo Huaylapucyo from Catantika to Pelechuco, Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Lima P. Huarochiri Huarochiri",-12.15,-76.233,NA,3154,"PER001","CIP - Potato collection","CIP-761026","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3154",NA,NA,"PE","Lima P. Huarochiri Huarochiri, Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"Oruro P. Cercado 13 km from Caracollo to Colquiri",-17.567,-67.15,NA,3850,"PER001","CIP - Potato collection","CIP-760882","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3850",NA,NA,"BO","Oruro P. Cercado 13 km from Caracollo to Colquiri, Bolivia"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"La Paz P. Ingavi 60 km from La Paz to Corocoro, before Comanche",-16.85,-68.45,NA,3940,"PER001","CIP - Potato collection","CIP-760872","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3940",NA,NA,"BO","La Paz P. Ingavi 60 km from La Paz to Corocoro, before Comanche, Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Junin P. Yauli Huaymanta",NA,NA,NA,3700,"PER001","CIP - Potato collection","CIP-761490","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3700",NA,NA,"PE","Junin P. Yauli Huaymanta, Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"Cochabamba P. Arque 115 km from Cochabamba to Oruro, Challa",-17.667,-66.533,NA,3950,"PER001","CIP - Potato collection","CIP-760815","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3950",NA,NA,"BO","Cochabamba P. Arque 115 km from Cochabamba to Oruro, Challa, Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Pasco P. Pasco Road between Carhuamayo and  Colquijirca",-10.9166,-76.0333,NA,4000,"PER001","CIP - Potato collection","CIP-762285","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Pasco P. Pasco Road between Carhuamayo and  Colquijirca, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. San Roman Tinco Palca",-14.4386,-69.6056,NA,4050,"PER001","CIP - Potato collection","CIP-761961","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4050",NA,NA,"PE","Puno P. San Roman Tinco Palca, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Ancash P. Bolognesi Mojo",-10.07,-77.18,NA,4050,"PER001","CIP - Potato collection","CIP-762415","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4050",NA,NA,"PE","Ancash P. Bolognesi Mojo, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Ayacucho Huamanga Tocto",NA,NA,NA,NA,"PER001","CIP - Potato collection","CIP-763414","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"0",NA,NA,"PE","Ayacucho Huamanga Tocto, Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"La Paz P. Larecaja Cruz Pata about 4 km se of Ancoma",-15.65,-68.8667,NA,3800,"PER001","CIP - Potato collection","CIP-762297","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3800",NA,NA,"BO","La Paz P. Larecaja Cruz Pata about 4 km se of Ancoma, Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Lima P. Huarochiri Condorpasa",NA,NA,NA,4000,"PER001","CIP - Potato collection","CIP-762784","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Lima P. Huarochiri Condorpasa, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Huancavelica P. Huancavelica Huancavelica",-12.7666,-74.9833,NA,3950,"PER001","CIP - Potato collection","CIP-761522","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3950",NA,NA,"PE","Huancavelica P. Huancavelica Huancavelica, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,NA,NA,NA,NA,NA,"PER001","CIP - Potato collection","CIP-762431","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"0",NA,NA,"PE","Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"Tarija P. Avilez 5 km W Punas de Patanca, road to Lagunas de Tajsara",-21.83,-65.02,NA,3720,"PER001","CIP - Potato collection","CIP-761385","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3720",NA,NA,"BO","Tarija P. Avilez 5 km W Punas de Patanca, road to Lagunas de Tajsara, Bolivia"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"La Paz P. Loayza 27 km from Pata Camaya to Luribay",-17.117,-67.7,NA,4020,"PER001","CIP - Potato collection","CIP-760585","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4020",NA,NA,"BO","La Paz P. Loayza 27 km from Pata Camaya to Luribay, Bolivia"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"Chuquisaca P. Nor Cinti 126 km on road from Potosi to Camargo, near Padcoyo.",-20.63,-65.23,NA,3500,"PER001","CIP - Potato collection","CIP-760225","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3500",NA,NA,"BO","Chuquisaca P. Nor Cinti 126 km on road from Potosi to Camargo, near Padcoyo., Bolivia"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"La Paz P. Ingavi Ruins of Tiahuanaco.",-16.55,-68.7,NA,3900,"PER001","CIP - Potato collection","CIP-760332","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3900",NA,NA,"BO","La Paz P. Ingavi Ruins of Tiahuanaco., Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. San Roman Tico-tico",NA,NA,NA,4250,"PER001","CIP - Potato collection","CIP-761957","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4250",NA,NA,"PE","Puno P. San Roman Tico-tico, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. San Roman Santa Lucia",-15.7,-70.6058,NA,4000,"PER001","CIP - Potato collection","CIP-761966","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Puno P. San Roman Santa Lucia, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Huanuco Dos de Mayo Jacas Chico",NA,NA,NA,NA,"PER001","CIP - Potato collection","CIP-763421","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"0",NA,NA,"PE","Huanuco Dos de Mayo Jacas Chico, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Cusco P. Espinar Espinar Tocroya",NA,NA,NA,3950,"PER001","CIP - Potato collection","CIP-762440","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3950",NA,NA,"PE","Cusco P. Espinar Espinar Tocroya, Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"La Paz P. Franz Tamayo Huaylapucyo from Catantika to Pelechuco",NA,NA,NA,4200,"PER001","CIP - Potato collection","CIP-762158","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4200",NA,NA,"BO","La Paz P. Franz Tamayo Huaylapucyo from Catantika to Pelechuco, Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Tacna P. Tarata Penia Plaza, above Chivateria and near Paso de Levine",-15.833,-70.033,NA,3950,"PER001","CIP - Potato collection","CIP-760013","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3950",NA,NA,"PE","Tacna P. Tarata Penia Plaza, above Chivateria and near Paso de Levine, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Lima P. Oyon Quichas",-10.5744,-76.7661,NA,4100,"PER001","CIP - Potato collection","CIP-761511","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4100",NA,NA,"PE","Lima P. Oyon Quichas, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Ayacucho P. Huamanga Apacheta",-13.2652,-74.34,NA,4000,"PER001","CIP - Potato collection","CIP-761536","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Ayacucho P. Huamanga Apacheta, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Azangaro Ckenamari",NA,NA,NA,4100,"PER001","CIP - Potato collection","CIP-761972","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4100",NA,NA,"PE","Puno P. Azangaro Ckenamari, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Melgar Achacumayo",-15.7677,-72.1772,NA,3980,"PER001","CIP - Potato collection","CIP-762350","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3980",NA,NA,"PE","Puno P. Melgar Achacumayo, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Huancane Chacco Uyo",NA,NA,NA,3820,"PER001","CIP - Potato collection","CIP-761407","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3820",NA,NA,"PE","Puno P. Huancane Chacco Uyo, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Cusco P. Espinar Condorsayana",-15.0108,-71.1413,NA,NA,"PER001","CIP - Potato collection","CIP-762427","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"0",NA,NA,"PE","Cusco P. Espinar Condorsayana, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,NA,NA,NA,NA,NA,"PER001","CIP - Potato collection","CIP-763409","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"0",NA,NA,"PE","Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Ayacucho P. Lucanas San Miguel Misticas",NA,NA,NA,4200,"PER001","CIP - Potato collection","CIP-761822","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4200",NA,NA,"PE","Ayacucho P. Lucanas San Miguel Misticas, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Cusco P. Espinar Panti",-14.7433,-71.4298,NA,4000,"PER001","CIP - Potato collection","CIP-762426","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Cusco P. Espinar Panti, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Azangaro Between Aricoma and  Crucero",NA,NA,NA,4300,"PER001","CIP - Potato collection","CIP-761971","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4300",NA,NA,"PE","Puno P. Azangaro Between Aricoma and  Crucero, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Cusco P. Canchis Aguas Calientes",-15.0319,-71.0497,NA,4000,"PER001","CIP - Potato collection","CIP-761620","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Cusco P. Canchis Aguas Calientes, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Puno Cuturati",NA,NA,NA,3820,"PER001","CIP - Potato collection","CIP-761625","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3820",NA,NA,"PE","Puno P. Puno Cuturati, Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"Tarija P. Avilez 6 km W Punas de Patanca, road to Lagunas de Tajsara",-21.833,-65,NA,3750,"PER001","CIP - Potato collection","CIP-761386","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3750",NA,NA,"BO","Tarija P. Avilez 6 km W Punas de Patanca, road to Lagunas de Tajsara, Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Pasco P. Pasco Guanumi",NA,NA,NA,4000,"PER001","CIP - Potato collection","CIP-761307","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Pasco P. Pasco Guanumi, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Puno Sillustani.",-15.833,-70.033,NA,3900,"PER001","CIP - Potato collection","CIP-760342","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3900",NA,NA,"PE","Puno P. Puno Sillustani., Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Arequipa P. Caylloma Yarhuamayo",NA,NA,NA,4000,"PER001","CIP - Potato collection","CIP-761953","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Arequipa P. Caylloma Yarhuamayo, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno Carabaya Rumurumi",NA,NA,NA,NA,"PER001","CIP - Potato collection","CIP-760949","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"0",NA,NA,"PE","Puno Carabaya Rumurumi, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Sandia Machuticane",NA,NA,NA,3800,"PER001","CIP - Potato collection","CIP-762205","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3800",NA,NA,"PE","Puno P. Sandia Machuticane, Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"La Paz P. Franz Tamayo Huaylapucyo from Catantika to Pelechuco",-14.7833,-69.0833,NA,4200,"PER001","CIP - Potato collection","CIP-762161","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4200",NA,NA,"BO","La Paz P. Franz Tamayo Huaylapucyo from Catantika to Pelechuco, Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Sandia Solitario",-15.1182,-69.5513,NA,4200,"PER001","CIP - Potato collection","CIP-762212","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4200",NA,NA,"PE","Puno P. Sandia Solitario, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Ancash P. Bolognesi Pisgosh",NA,NA,NA,3900,"PER001","CIP - Potato collection","CIP-762417","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3900",NA,NA,"PE","Ancash P. Bolognesi Pisgosh, Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"Cochabamba P. Ayopaya 34 km from turning off Morochata-Cochabamba road to Cocapata, Viscachas",-17.167,-66.5,NA,4000,"PER001","CIP - Potato collection","CIP-760480","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"BO","Cochabamba P. Ayopaya 34 km from turning off Morochata-Cochabamba road to Cocapata, Viscachas, Bolivia"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"La Paz P. Omasuyos Coromata",-16.1666,-68.5666,NA,3950,"PER001","CIP - Potato collection","CIP-761291","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3950",NA,NA,"BO","La Paz P. Omasuyos Coromata, Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Huancane Lajota            ??",NA,NA,NA,4300,"PER001","CIP - Potato collection","CIP-762147","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4300",NA,NA,"PE","Puno P. Huancane Lajota            ??, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Apurimac P. Antabamba Huakentuniyok",NA,NA,NA,3900,"PER001","CIP - Potato collection","CIP-761135","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3900",NA,NA,"PE","Apurimac P. Antabamba Huakentuniyok, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Ancash P. Bolognesi Mojo",-10.07,-77.18,NA,4050,"PER001","CIP - Potato collection","CIP-762416","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4050",NA,NA,"PE","Ancash P. Bolognesi Mojo, Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"La Paz P. Omasuyos Chachacomani between Coromata and Huarina",-16.0333,-68.7,NA,3950,"PER001","CIP - Potato collection","CIP-761294","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3950",NA,NA,"BO","La Paz P. Omasuyos Chachacomani between Coromata and Huarina, Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Melgar From Santa Rosa, 17 km before Aquas Calientes.",-14.75,-70.75,NA,4175,"PER001","CIP - Potato collection","CIP-760346","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4175",NA,NA,"PE","Puno P. Melgar From Santa Rosa, 17 km before Aquas Calientes., Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Apurimac Cotabambas",NA,NA,NA,NA,"PER001","CIP - Potato collection","CIP-763304","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"0",NA,NA,"PE","Apurimac Cotabambas, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Arequipa Caylloma Viscachani",NA,NA,NA,NA,"PER001","CIP - Potato collection","CIP-763205","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"0",NA,NA,"PE","Arequipa Caylloma Viscachani, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Huancane Lajota            ??",NA,NA,NA,4300,"PER001","CIP - Potato collection","CIP-762156","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4300",NA,NA,"PE","Puno P. Huancane Lajota            ??, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Ayacucho P. Lucanas Km172 road Abancay - Puquio",-14.68,-74.12,NA,4100,"PER001","CIP - Potato collection","CIP-762030","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4100",NA,NA,"PE","Ayacucho P. Lucanas Km172 road Abancay - Puquio, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Puno Ruinas Sillustani",NA,NA,NA,3901,"PER001","CIP - Potato collection","CIP-761573","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3901",NA,NA,"PE","Puno P. Puno Ruinas Sillustani, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Lampa Quimsachaca",NA,NA,NA,4200,"PER001","CIP - Potato collection","CIP-762378","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4200",NA,NA,"PE","Puno P. Lampa Quimsachaca, Peru"
"solanum acaule acaule BITTER",NA,"Bolivia",NA,NA,"La Paz P. Omasuyos Near Achacachi",-16.0167,-68.7667,NA,3800,"PER001","CIP - Potato collection","CIP-761027","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3800",NA,NA,"BO","La Paz P. Omasuyos Near Achacachi, Bolivia"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Puno P. Sandia Suytuccocha",-13.8255,-73.2758,NA,4000,"PER001","CIP - Potato collection","CIP-762195","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"4000",NA,NA,"PE","Puno P. Sandia Suytuccocha, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Cusco P. Calca Paru-Paru",NA,NA,NA,NA,"PER001","CIP - Potato collection","CIP-761125","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"0",NA,NA,"PE","Cusco P. Calca Paru-Paru, Peru"
"solanum acaule acaule BITTER",NA,"Peru",NA,NA,"Cusco P. Espinar Pararani",-14.73,-71.45,NA,3900,"PER001","CIP - Potato collection","CIP-762435","unknown",NA,NA,NA,"Data from GBIF data index - original values.",2013-01-16,NA,"3900",NA,NA,"PE","Cusco P. Espinar Pararani, Peru"
